gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
4022002555,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146629089,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus rubens,,SPECIES,Bromus rubens L.,Bromus rubens,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.49673,-117.227455,4,,,,,,2023-01-14T08:02:10,14,1,2023,2703740,2703740,HUMAN_OBSERVATION,iNaturalist,Observations,146629089,,Matt Berger,2023-01-15T22:16:52,CC_BY_NC_4_0,Ulysses M,Ulysses M,,,2023-01-30T15:22:06.593Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES
4018568298,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/146664578,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.967337,-117.907805,63,,,,,,2023-01-15T13:20:58,15,1,2023,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,146664578,,James,2023-01-16T03:25:17,CC_BY_NC_4_0,James,James,,,2023-01-30T15:14:09.207Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4018119645,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/139892496,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.292222,-117.774447,,,,,,,2022-09-30T12:05:00,30,9,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,139892496,,Alix Kosmala,2022-10-24T18:51:16,CC_BY_4_0,Alix Kosmala,Alix Kosmala,,,2023-01-30T15:23:02.814Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4010594306,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-297725,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,Benth.,US,Southern Inyo Mountains. Just north of Malpais Mesa Wilderness boundary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010593306,e523cf2d-4fc2-48d8-aa75-80ecbc90b3f5,UCR-BPS-297723,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,Benth.,US,Southern Inyo Mountains. Malpais Mesa Wilderness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3994185751,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/143902836,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,36.49207,-118.858812,4,,,,,,2022-04-21T12:02:24,21,4,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,143902836,,kibby,2022-12-08T00:44:14,CC_BY_NC_4_0,kibby,kibby,,,2023-01-30T15:14:28.708Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3961136670,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/139393936,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.352327,-118.114751,,,,,,,2022-10-06T08:53:00,6,10,2022,2927060,2927060,HUMAN_OBSERVATION,iNaturalist,Observations,139393936,,madfox,2022-10-20T02:47:14,CC_BY_NC_4_0,madfox,madfox,,,2023-01-30T15:21:36.848Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
3952409601,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10549208912,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Phacelia,Phacelia tanacetifolia,,SPECIES,Phacelia tanacetifolia Benth.,Phacelia tanacetifolia Benth.,Benth.,US,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,36.557912,-119.385313,40,,103.41,0,,,2022-04-08T00:07:36.399,8,4,2022,2928226,2928226,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2023-01-24T16:30:46.056Z,,COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3952355018,14d5676a-2c54-4f94-9023-1e8dcd822aa0,q-10134171781,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,Salvia columbariae,,SPECIES,Salvia columbariae Benth.,Salvia columbariae Benth.,Benth.,US,,,PRESENT,1,da86174a-a605-43a4-a5e8-53d484152cd3,36.511775,-117.372994,,,,,,,2016-12-20T23:43:10.908,20,12,2016,2927060,2927060,HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,,,,,2023-01-24T16:30:04.538Z,,COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES
3892511390,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/110451777,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Layia,Layia platyglossa,,SPECIES,Layia platyglossa (Fisch. & C.A.Mey.) A.Gray,Layia platyglossa,,US,,California,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,35.444458,-118.908136,190,,,,,,2022-04-04T13:33:23,4,4,2022,5392998,5392998,HUMAN_OBSERVATION,iNaturalist,Observations,110451777,,Melissa,2022-04-05T01:56:45,CC_BY_NC_4_0,Melissa,Melissa,,,2023-01-30T15:19:30.206Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
